Year,LPR
2015,1051031.00
2014,1016518.00
2013,990553.00
2012,1031631.00
2011,1062040.00
2010,1042625.00
2009,1130818.00
2008,1107126.00
2007,1052415.00
2006,1266129.00
2005,1122257.00
2004,957883.00
2003,703542.00
2002,1059356.00
2001,1058902.00
2000,841002.00
1999,644787.00
1998,653206.00
1997,797847.00
1996,915560.00
1995,720177.00
1994,803993.00
1993,903916.00
1992,973445.00
1991,1826595.00
1990,1535872.00
1989,1090172.00
1988,641346.00
1987,599889.00
1986,600027.00
1985,568149.00
1984,541811.00
1983,550052.00
1982,533624.00
1981,595014.00
1980,524295.00
1979,394244.00
1978,589810.00
1977,458755.00
19761;,499093.00
1975,385378.00
1974,393919.00
1973,398515.00
1972,384685.00
1971,370478.00
1970,373326.00
1969,358579.00
1968,454448.00
1967,361972.00
1966,323040.00
1965,296697.00
1964,292248.00
1963,306260.00
1962,283763.00
1961,271344.00
1960,265398.00
1959,260686.00
1958,253265.00
1957,326867.00
1956,321625.00
1955,237790.00
1954,208177.00
1953,170434.00
1952,265520.00
1951,205717.00
1950,249187.00
1949,188317.00
1948,170570.00
1947,147292.00
1946,108721.00
1945,38119.00
1944,28551.00
1943,23725.00
1942,28781.00
1941,51776.00
1940,70756.00
1939,82998.00
1938,67895.00
1937,50244.00
1936,36329.00
1935,34956.00
1934,29470.00
1933,23068.00
1932,35576.00
1931,97139.00
1930,241700.00
1929,279678.00
1928,307255.00
1927,335175.00
1926,304488.00
1925,294314.00
1924,706896.00
1923,522919.00
1922,309556.00
1921,805228.00
1920,430001.00
1919,141132.00
1918,110618.00
1917,295403.00
1916,298826.00
1915,326700.00
1914,1218480.00
1913,1197892.00
1912,838172.00
1911,878587.00
1910,1041570.00
1909,751786.00
1908,782870.00
1907,1285349.00
1906,1100735.00
1905,1026499.00
1904,812870.00
1903,857046.00
1902,648743.00
1901,487918.00
1900,448572.00
1899,311715.00
1898,229299.00
1897,230832.00
1896,343267.00
1895,258536.00
1894,285631.00
1893,439730.00
1892,579663.00
1891,560319.00
1890,455302.00
1889,444427.00
1888,546889.00
1887,490109.00
1886,334203.00
1885,395346.00
1884,518592.00
1883,603322.00
1882,788992.00
1881,669431.00
1880,457257.00
1879,177826.00
1878,138469.00
1877,141857.00
1876,169986.00
1875,227498.00
1874,313339.00
1873,459803.00
1872,404806.00
1871,321350.00
1870,387203.00
1869,352768.00
1868,138840.00
1867,315722.00
1866,318568.00
1865,248120.00
1864,193418.00
1863,176282.00
1862,91985.00
1861,91918.00
1860,153640.00
1859,121282.00
1858,123126.00
1857,251306.00
1856,200436.00
1855,200877.00
1854,427833.00
1853,368645.00
1852,371603.00
1851,379466.00
1850,369980.00
1849,297024.00
1848,226527.00
1847,234968.00
1846,154416.00
1845,114371.00
1844,78615.00
1843,52496.00
1842,104565.00
1841,80289.00
1840,84066.00
1839,68069.00
1838,38914.00
1837,79340.00
1836,76242.00
1835,45374.00
1834,65365.00
1833,58640.00
1832,60482.00
1831,22633.00
1830,23322.00
1829,22520.00
1828,27382.00
1827,18875.00
1826,10837.00
1825,10199.00
1824,7912.00
1823,6354.00
1822,6911.00
1821,9127.00
1820,8385.00
